,sex,ethnicity,age_range,var,intercept,slope,r_squared,std,count
21,male,black,under,FEV1OFVC,86.74637665535093,0.015882302261897296,7.335862524593395e-05,6.284698506268841,599
22,male,black,under,FEV3OFEV6,97.59014267880025,0.05833996447440457,0.013557135285471866,1.6981606716294775,599
23,male,black,under,FEV3OFVC,97.16440811088381,0.06375758226711438,0.011742997186970916,1.9940633195230086,599
24,male,black,under,FEV6OFVC,99.56275208129966,0.005542478001837418,0.0009154141399674298,0.6208572445370845,599
25,male,black,under,MMEFOFVC,1.0454136497148914,-0.0017631595489596254,0.00043469030205633974,0.28661454183112134,599
26,male,black,under,MMEFOPEFR,51.28394042786806,-0.129479083525491,0.0017373268063917147,10.52823183402047,599
27,male,black,under,PEFROFEV1,2.329342936504398,0.0020445301350687285,0.0005366018802847039,0.2991327780984687,599
28,male,black,under,PEFROFEV6,2.0316684520689727,0.0022439743761776616,0.0005231790065284292,0.3324982181524387,599
29,male,black,under,PEFROFVC,2.02313735367645,0.0023482552901187823,0.0005686741442822996,0.33374145213454304,599
30,male,black,over,FEF75OFVC,48.90814398998732,-0.4647949291101247,0.1787545768008456,15.928334946714292,478
31,male,black,over,FEF75OPEFR,22.630529513986215,-0.2052635670327225,0.16493003728768407,7.32317776719772,478
32,male,black,over,FEV05OFEV3,69.12744058608352,0.005175974609679231,0.00010822652333553062,7.208798179563291,478
33,male,black,over,FEV05OFVC,69.70237882002883,-0.10623755843805073,0.03635733101928751,8.072715874845864,478
34,male,black,over,FEV1OFEV3,88.8316186769427,-0.05702653668617274,0.02629212779007517,5.095674907375103,478
35,male,black,over,FEV1OFEV6,88.55166928251134,-0.13045434820567176,0.0893586003984439,6.323069621649447,478
36,male,black,over,FEV1OFVC,89.3993902062071,-0.1927840441865265,0.15380572472811005,7.1223353753664265,478
37,male,black,over,FEV3OFEV6,99.71941583975587,-0.08817952699906176,0.28611197803168176,2.3885664530560082,478
38,male,black,over,FEV3OFVC,100.74060734682018,-0.16217045217805015,0.35652789084260106,3.935161459208357,478
39,male,black,over,FEV6OFVC,101.13246873214435,-0.07961062418975241,0.2913688347667778,2.136914096184449,478
40,male,black,over,MMEFOFVC,1.1128450404565937,-0.006473689285413802,0.1139568109849628,0.277855687409598,478
41,male,black,over,MMEFOPEFR,51.28582083886962,-0.2714459918452884,0.12527091543823854,11.112093606238533,478
42,male,black,over,PEFROFEV1,2.4027235665792515,0.004513183503890766,0.02915109996942633,0.38299499809523113,478
43,male,black,over,PEFROFEV6,2.1372911268167734,0.0005410075499798568,0.00041994636897979554,0.38251105747808606,478
44,male,black,over,PEFROFVC,2.1616225188756504,-0.0011448864221970585,0.0018790335947592718,0.3826773130449469,478
45,male,non-black,all,FEF75OFVC,50.23588975623388,-0.5179032665372099,0.3396168997107688,17.202905876002596,2149
46,male,non-black,all,FEF75OPEFR,27.5549140780872,-0.2965294930914888,0.3773988339795583,9.343625594148463,2149
47,male,non-black,all,FEV05OFEV3,67.6936194558176,-0.0029560192915064148,7.688519920001635e-05,6.525799127684616,2149
48,male,non-black,all,FEV05OFVC,68.05305863380461,-0.11417450779999026,0.09081622972235004,7.333904046121317,2149
