,sex,ethnicity,age_range,var,intercept,slope,r_squared,std,count
100,male,mexican,over,FEF75,1.7112735618323842,-0.06919378228587737,0.4183087492448152,0.7248946267175685,602
101,male,mexican,over,FEV05,0.6230942971199598,0.0001155199320124164,0.534792815332449,0.5599918763112024,602
102,male,mexican,over,FEV1,0.7914284706380283,-0.018412905058705135,0.6384246001967937,0.7227827634307848,602
103,male,mexican,over,FEV3,0.661247012325545,-0.020970625084462763,0.6349617765376252,0.8126288802722504,602
104,male,mexican,over,FEV6,0.4248688549552231,-0.01318416915802669,0.5957363432045889,0.8129663095362654,602
105,male,mexican,over,FVC,0.24473624707840358,-0.0035195311777060203,0.5486509549236693,0.7963956914828186,602
106,male,mexican,over,MMEF,2.332934241431037,-0.03384540117052578,0.3985654983841478,1.3090145144943954,602
107,male,mexican,over,PEFR,-0.7008231414801163,0.07248728586859883,0.33185559939226317,1.8861502388823994,602
108,female,black,all,EXPIR,4.763354951383644,0.21953051102088536,0.1841328349495347,3.7393410468217607,1547
109,female,black,all,FEF75,-0.36167243971257856,-0.024109970491584285,0.3505589632127166,0.610429642168784,1547
110,female,black,all,FEV05,-0.6529185942442475,0.017293143063040955,0.5883011830772151,0.49929508527029715,1547
111,female,black,all,FEV1,-0.9946602995884528,0.014458448423541504,0.6479918333675687,0.619766106409723,1547
112,female,black,all,FEV3,-1.1929226687492998,0.019748986471602274,0.6567414607744559,0.6890109160722369,1547
113,female,black,all,FEV6,-1.2249526968062856,0.024202967794444908,0.6531746364515841,0.6974050917248688,1547
114,female,black,all,FVC,-1.226770598379241,0.026868437569046492,0.6471492098680761,0.699129674579717,1547
115,female,black,all,MMEF,-0.7077136793132826,0.00948910470011576,0.359037936818157,1.09090488610972,1547
116,female,black,all,PEFR,-1.4646421145033237,0.08977557984607401,0.4536942791500542,1.634251979188989,1547
117,female,black,under,EXPIR,6.9506215403026035,-0.22114377643532496,0.004052589907947879,2.7202047134470377,590
118,female,black,under,FEF75,-0.43677803720808517,-0.013960568142421347,0.35954840690077994,0.5817196123623314,590
119,female,black,under,FEV05,-0.8002542990523434,0.07435602687544197,0.7201649882097725,0.4897788622206575,590
120,female,black,under,FEV1,-1.0968718823952508,0.07939263606059835,0.7638473090421789,0.6200315362713829,590
121,female,black,under,FEV3,-1.1123836988094769,0.07109612046271438,0.7628433296372314,0.6747287094317779,590
122,female,black,under,FEV6,-1.0887758547811486,0.06843048671445211,0.7588039952177174,0.6779517521578237,590
123,female,black,under,FVC,-1.05111125143315,0.06462696903035142,0.7565323145548031,0.6772200351739287,590
124,female,black,under,MMEF,-1.3602917017599667,0.12215795296697184,0.4458542241857383,1.0135988312583655,590
125,female,black,under,PEFR,-3.28646491314532,0.49615298100042426,0.5967830559137398,1.505884202841445,590
126,female,black,over,EXPIR,2.003949521665003,0.26390575346671735,0.10207568657077981,3.925131847603788,957
127,female,black,over,FEF75,1.8130145362993235,-0.055648134345473554,0.41490189701539193,0.6142702995892689,957
128,female,black,over,FEV05,0.5514625075026349,-0.008033403753972377,0.511099178638818,0.4759115078008752,957
129,female,black,over,FEV1,0.4551208986583415,-0.01786523336945141,0.5960074299780924,0.5904069037867161,957
130,female,black,over,FEV3,0.04482951233739385,-0.01404778595510026,0.5850061196033982,0.6504796682484916,957
131,female,black,over,FEV6,-0.18120128637620603,-0.0072309075835780895,0.5544521986857156,0.6466386976950095,957
132,female,black,over,FVC,-0.32000305074542323,-0.002214147421533311,0.5230610623933025,0.638461672972557,957
133,female,black,over,MMEF,2.798090535272458,-0.046888273008508945,0.3836490715698354,1.135021597968362,957
134,female,black,over,PEFR,1.9029440053385853,0.02094570871181832,0.307387527196186,1.562010483403115,957
135,female,non-black,all,EXPIR,5.109315965394222,0.20319487054355095,0.2465297209895253,3.7885969138657885,3079
136,female,non-black,all,FEF75,-0.034549318311303034,-0.025932736757936902,0.486127468488491,0.6678689530608459,3079
137,female,non-black,all,FEV05,-0.37554906334335403,0.02055844279123191,0.6627634044771167,0.5148659759509989,3079
138,female,non-black,all,FEV1,-0.7449358124422285,0.01780620748500017,0.7248096068231854,0.673398368906142,3079
139,female,non-black,all,FEV3,-1.0522887126894562,0.02442431655345655,0.7317672500736263,0.7598028513944836,3079
140,female,non-black,all,FEV6,-1.1097123392297008,0.029431551700245043,0.7223497196411729,0.7654779187606702,3079
141,female,non-black,all,FVC,-1.1380268351633136,0.03207372034999554,0.7131325366485354,0.7633380156881896,3079
142,female,non-black,all,MMEF,0.18209599351366768,0.013704769574010548,0.4843602980862646,1.1023341235732775,3079
143,female,non-black,all,PEFR,-1.003839024234078,0.08191583481372737,0.5134875464390937,1.540749560574356,3079
144,female,non-black,under,EXPIR,3.735753381864675,0.21001162771282525,0.009200671304511077,2.6403552359685514,966
145,female,non-black,under,FEF75,-0.7712156760382827,0.047379528781938234,0.41560932247202365,0.6007008343277643,966
146,female,non-black,under,FEV05,-1.118409269179158,0.14060669717990124,0.7539250180830872,0.5228726576428046,966
147,female,non-black,under,FEV1,-1.2612668405026217,0.09815128751161314,0.8197082194058213,0.6931359217987585,966
148,female,non-black,under,FEV3,-1.2368693750398667,0.06805633266285277,0.8260827779778513,0.7737900300509221,966
149,female,non-black,under,FEV6,-1.1715056816181586,0.057168579293968486,0.82128233247089,0.7788475831853775,966
150,female,non-black,under,FVC,-1.173204176892778,0.058170072819684955,0.8212038081934702,0.779828038931877,966
151,female,non-black,under,MMEF,-2.2874539883962566,0.3687072782469368,0.49385597809967774,0.9796242429276951,966
152,female,non-black,under,PEFR,-4.373452278699768,0.6735681966100011,0.6272382009287423,1.5211411545233668,966
153,female,non-black,over,EXPIR,2.7209712141363926,0.2764851597266521,0.15396479544477304,3.838246033464155,2113
154,female,non-black,over,FEF75,1.97120715117406,-0.053193917222257164,0.5335156083137073,0.6550160458175867,2113
155,female,non-black,over,FEV05,0.6922789324854364,0.0028243067141539998,0.6433459449472239,0.49910408274715,2113
156,female,non-black,over,FEV1,0.776744968344947,-0.009213766773666735,0.7200303813265332,0.6550214651871938,2113
157,female,non-black,over,FEV3,0.43792134758767043,-0.006904944127643535,0.7094108505584786,0.7293112544501946,2113
158,female,non-black,over,FEV6,0.2104195348699296,0.0002526328276463507,0.6764022930526061,0.7208159398181292,2113
159,female,non-black,over,FVC,0.028947913076334153,0.005882660095636153,0.6414413431603168,0.7049466712979493,2113
160,female,non-black,over,MMEF,3.1215940503122064,-0.02647257307075854,0.5344184035389941,1.1473304000423468,2113
161,female,non-black,over,PEFR,1.0289134693786997,0.05084460987577372,0.42220081130224196,1.4668707968399581,2113
162,female,white,all,EXPIR,5.708683031803627,0.20427459585122834,0.22487218190495306,3.8802621419187493,1517
163,female,white,all,FEF75,-0.11441877146006396,-0.031340312026565155,0.5515245834612361,0.6669944010543563,1517
164,female,white,all,FEV05,-0.37252227026381224,0.018632412001181826,0.7024454694683399,0.5389020501924309,1517
165,female,white,all,FEV1,-0.7430822411578002,0.014976282488788465,0.7572319416550656,0.7182272578532491,1517
166,female,white,all,FEV3,-1.0438917792132445,0.021568892028961843,0.7614146987818753,0.8152321704830413,1517
167,female,white,all,FEV6,-1.097975394469056,0.027515747362453137,0.7489951820061227,0.8186121981033408,1517
